都道府県,施設名,住所,place_id
東京,スターバックスコーヒー 銀座EXITMELSA店,日本、〒104-0061 東京都中央区銀座５丁目７−１０,ChIJWym4beaLGGARCezsUfvHKdc
東京,スターバックスコーヒー 銀座松屋通り店,日本、〒104-0061 東京都中央区銀座３丁目７−１４ ＥＳＫビル １F,ChIJJ_ulveaLGGARcN1r6n7ewA4
東京,スターバックスコーヒー 九段下店,日本、〒102-0073 東京都千代田区九段北１丁目２−１ 九段北一丁目ビル 1F,ChIJrQJoMmuMGGARJ8q86MIn6_I
東京,スターバックスコーヒー 駒沢1丁目店,日本、〒154-0012 東京都世田谷区駒沢１丁目２４−５,ChIJY6Xql470GGAR4wUo_0uQQOU
東京,スターバックスコーヒー 恵比寿ガーデンプレイス センタープラザB1店,日本、〒150-0013 東京都渋谷区恵比寿４丁目２０−７ ガーデンプレイス センタープラザ B１,ChIJq_OrwrCLGGARqXn49er8zzA
東京,スターバックスコーヒー 恵比寿ユニオンビル店,日本、〒150-0022 東京都渋谷区恵比寿南１丁目２−１０ エビスユニオンビル １F,ChIJLWdB5kCLGGAROQVUESAP_e4
東京,スターバックスコーヒー 虎ノ門２丁目タワー店,日本、〒105-0001 東京都港区虎ノ門２丁目３−１７ 虎ノ門2丁目タワー,ChIJbxwe8JGLGGARUGHdJ1MziaU
東京,スターバックスコーヒー 五反田東急スクエア店,日本、〒141-0022 東京都品川区東五反田２丁目１−２ 五反田東急スクエア,ChIJrcxZVPqKGGARo6ZVFSiWANg
東京,スターバックスコーヒー 御茶ノ水ソラシティ店,日本、〒101-0062 東京都千代田区神田駿河台４丁目６ 御茶ノ水ソラシティ,ChIJS3K5SuGTGGARPxlEpsulSuw
東京,スターバックスコーヒー 御徒町春日通り店,日本、〒110-0005 東京都台東区上野６丁目２−１ ヨシダビル,ChIJFYSL06GOGGARl0i109gE5j8
東京,スターバックスコーヒー 御徒町春日通り店,日本、〒110-0005 東京都台東区上野６丁目２−１ ヨシダビル,ChIJFYSL06GOGGARl0i109gE5j8
東京,スターバックスコーヒー 光が丘IMA店,"Ima, ５丁目-１-１ 光が丘 練馬区 東京都 179-0072 日本",ChIJxclesGPtGGARlyZqG4bms0w
東京,スターバックスコーヒー 阪急大井町ガーデン店,日本、〒140-0014 東京都品川区大井１丁目５０−５ 新阪急大井町ビル,ChIJufGeyX2KGGARdlkdbxYBYKE
東京,スターバックスコーヒー 桜新町店,日本、〒154-0015 東京都世田谷区桜新町２丁目１０−４,ChIJDYhBjIb1GGAR2wa_zFVVAbE
