都道府県,施設名,住所,place_id
東京,渋谷区文化総合センター 大和田,日本、〒150-0031 東京都渋谷区桜丘町２３−２１,ChIJn0svOFeLGGARokRS3f-mBYk
東京,渋谷区立こもれび大和田図書館,日本、〒150-0031 東京都渋谷区桜丘町２３−２１,ChIJcYeWN1eLGGAR-Ws9aovfPss
東京,森の図書室,日本、〒150-0042 東京都渋谷区宇田川町２３−３ 渋谷第一勧銀共同ビル 8F,ChIJ_76U71WLGGARn9Yb93Tk-Io
東京,文化学園図書館,日本、〒151-0053 東京都渋谷区代々木３丁目２２−１,ChIJ1yDWddKMGGAR6cJOLZGwa4M
東京,渋谷区立代々木図書館,日本、〒151-0053 東京都渋谷区代々木３丁目５１−８,ChIJU1bhIcyMGGAROIbeWJGrj5Q
東京,富ケ谷図書館,日本、〒151-0064 東京都渋谷区上原１丁目４６−２,ChIJsaJT8kvzGGARCqiMLAVzWv4
東京,渋谷区立西原図書館,日本、〒151-0066 東京都渋谷区西原２丁目２８−９,ChIJXTlpujvzGGARx7T1FJM-Upo
東京,渋谷区立本町図書館,日本、〒151-0071 東京都渋谷区本町１丁目３３−５,ChIJRc457S_zGGARIPMBX5-9Fqw
東京,渋谷区立笹塚図書館,日本、〒151-0073 東京都渋谷区笹塚１丁目４７−１ メルクマール京王笹塚 4階,ChIJyfqxehfzGGARD07MRMjt2lI
東京,目黒区立目黒本町図書館,日本、〒152-0002 東京都目黒区目黒本町２丁目１−２０,ChIJyzJy9CuLGGARY_LrC96nSrY
東京,目黒区立洗足図書館,日本、〒152-0012 東京都目黒区洗足２丁目８−２６,ChIJJROc3dKKGGARyVTKdRjaFZE
東京,目黒区立八雲中央図書館,日本、〒152-0023 東京都目黒区八雲１丁目１−１,ChIJtxVA0ML0GGARgcc_bgy6JfI
東京,目黒区立緑が丘図書館,日本、〒152-0034 東京都目黒区緑が丘２丁目１４−２３,ChIJDR3zqSH1GGAR_mnKt6lqAEs
東京,目黒区立中目黒駅前図書館,日本、〒153-0051 東京都目黒区上目黒２丁目１−３ B1階,ChIJ_bw8AkmLGGARK91G_6vPRlg
東京,目黒区立守屋図書館,日本、〒153-0053 東京都目黒区五本木２丁目２０−１５,ChIJtWR5BMv0GGARZ-tgcZWC6F4
東京,世田谷区立池尻図書室,日本、〒154-0001 東京都世田谷区池尻３丁目２７−２１ 世田谷区池尻まちづくりセンター,ChIJd823mKf0GGARuC5cA_ygrOI
東京,世田谷区立中央図書館,日本、〒154-0016 東京都世田谷区弦巻３丁目１６−８ 1階･B1階,ChIJl6i3RIfzGGARUnFZwZUj63Q
東京,世田谷区立世田谷図書館,日本、〒154-0023 東京都世田谷区若林４丁目２２−１３ 1F,ChIJl0cR237zGGARppjqDVKID7c
東京,世田谷区立梅丘図書館,日本、〒155-0033 東京都世田谷区代田４丁目３８−１０,ChIJ4_tjiHTzGGARseEyBfe6LCU
東京,世田谷区立松沢図書室,日本、〒156-0044 東京都世田谷区赤堤５丁目３１−５,ChIJ6WoAvbHzGGAR490U7QBZ-TU
東京,世田谷区立経堂図書館,日本、〒156-0051 東京都世田谷区宮坂３丁目１−３０,ChIJzYB-tpfzGGARIMTmzssQ6bY
東京,世田谷区立桜丘図書館,日本、〒156-0054 東京都世田谷区桜丘５丁目１４−１ 地下1階,ChIJOU17TejzGGAR7x0KCZhpBgU
東京,世田谷区立上北沢図書館,日本、〒156-0057 東京都世田谷区上北沢３丁目８−９,ChIJoQBxljTyGGARzrFksbQ3zHc
東京,世田谷区立砧図書館,日本、〒157-0072 東京都世田谷区祖師谷３丁目１０−４,ChIJdSeQzmbxGGAROQjdlSqP-ME
東京,世田谷区立深沢図書館,日本、〒158-0081 東京都世田谷区深沢４丁目３３−１１,ChIJt2wR9vT0GGARdiduep3JHls
東京,世田谷区立玉川台図書館,日本、〒158-0096 東京都世田谷区玉川台１丁目６−１５ 3階,ChIJk3yehW30GGARbhun_yj2H1I
東京,新宿区立四谷図書館,日本、〒160-0014 東京都新宿区内藤町８７,ChIJt3gBz-uMGGARMeLJB5imSJY
東京,東京都議会図書館,日本、〒160-0023 東京都新宿区西新宿２丁目８−１,ChIJoTcat9SMGGARmRmMfi0rVQE
東京,新宿区立角筈図書館,日本、〒160-0023 東京都新宿区西新宿４丁目３３−７,ChIJzwAzjCzzGGAR7mz4i7iri-I
東京,新宿区立下落合図書館,日本、〒161-0033 東京都新宿区下落合１丁目９−８,ChIJBQesrUmNGGARGw81QaGv1I0
東京,新宿区立鶴巻図書館,日本、〒162-0041 東京都新宿区早稲田鶴巻町５２１,ChIJhQUyXAKNGGARdAKs7NfoYz8
東京,新宿区立戸山図書館,日本、〒162-0052 東京都新宿区戸山２丁目１１−１０１,ChIJryz0Kh6NGGAR_u1l0v89KnE
東京,新宿区立中町図書館,日本、〒162-0835 東京都新宿区中町２５ 新宿区立中町児童館,ChIJu24nU1iMGGARQjiBUHUy7iU
東京,中野区立中央図書館,日本、〒164-0001 東京都中野区中野２丁目９−７,ChIJESC-wb_yGGARTGWnIPGMWu0
東京,中野区立上高田図書館,日本、〒164-0002 東京都中野区上高田５丁目３０−１５,ChIJicmHWqHyGGARAHXBVyuRrTg
東京,中野区立中野東図書館,"日本、〒164-0011 東京都中野区中央１丁目４１−２ みらいステップなかの 7 8,9階部分",ChIJQQ2OE-PzGGARRfstPFCux4I
東京,南台図書館,日本、〒164-0014 東京都中野区南台３丁目２５,ChIJNXKVZuHyGGARm54rk1JDMgc
東京,中野区立南台図書館,日本、〒164-0014 東京都中野区南台３丁目２６−１８,ChIJHTXzYuHyGGARxIDGDvGytDc
東京,中野区立江古田図書館,日本、〒165-0022 東京都中野区江古田２丁目１−１１,ChIJW4dizGDtGGARCKAMMRf_FH4
